chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona,guid
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i7-5500U,Gamer,681a2009a6b847ff91adc4ecaa600a85
Desktop,64,Win10,6,2,High-End Graphics Cards,14,i7-8700K,Communication,30f386e133394f3f9b7d9f387c4cea51
Desktop,24,Win10,4,6,Office-Class Graphics Cards,32,i5-2500K,Communication,4abfa9c15bb14d29867e064905921f01
Desktop,4,Win10,4,6,Low-Midrange Graphics Cards,32,i5-2400,Casual User,c32c5dd6f0fc430fbc0b65d4ea2947ed
Desktop,24,Win10,4,5,Low-End Graphics Cards,22,i7-4790K,Web User,6d07064b891c41d5ae2140d08df0de09
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7300U,Communication,e3a253817f904960895464e22fe85a4d
Notebook,8,Win10,2,6,Office-Class Graphics Cards,22,i7-4500U,Win Store App User,ed38c9a1192446b8983237321f216516
Notebook,32,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8550U,Content Creator/IT,a90d38d856c048558e6655f662c18501
Notebook,4,Win10,2,4,Low-End Graphics Cards,14,i5-5200U,Communication,42d0919b83b042d19b5d591edd33e4a6
Notebook,10,Win10,2,6,Low-End Graphics Cards,32,i3-2365M,File & Network Sharer,9134c52a39554990a32174153e157b65
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6500T,Entertainment,981dc9d2601b4751a59a4098df08331f
Notebook,16,Win10,4,4,High-End Graphics Cards,22,i7-4720HQ,Content Creator/IT,d3ad4c048f124232a69ea05846248433
Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-3770,Web User,c5dcc7dfb90c47f7bfa598be25a72232
Desktop,16,Win10,2,-1,Low-Midrange Graphics Cards,90,i3-540,Win Store App User,ea4eff74ba8a4a4498d0a004a78bf192
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8350U,Office/Productivity,027520747a7d494ea9cbcea81070c888
Desktop,16,Win10,6,0,Low-Midrange Graphics Cards,14,i5-9400,Casual User,080610f78dd349c290fa06e6075bc462
Notebook,8,Win10,4,2,Low-Midrange Graphics Cards,14,i5-8250U,Communication,0761d7e6e64c4fffa7d153a146140a8b
Notebook,4,Win10,2,6,Low-End Graphics Cards,32,i5-2450M,Casual User,0447847e530b47db8c6028d32e7b672b
2 in 1,16,Win10,4,2,High-End Graphics Cards,14,i7-8650U,Office/Productivity,038470bf99ac4b4c8a3134f746586517
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,i3-7100U,Casual User,046fb6ac3baa4562a4d3df8cb287685c
Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7600U,Communication,07c6d30b3cc7430ba8ef0896bacd807a
Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-4770K,Casual User,0811235400904e5795573a42dfa787ee
Notebook,8,Win10,4,0,,10,i7-1065G7,Gamer,04c6615203e84b93afb3354e14c97f0b
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i5-5200U,Web User,0731eadc59c84091aa97b20594d9aca2
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,N3060,Win Store App User,047a8e7db91841b4a32db156b771ec5c
Notebook,4,Win10,4,5,Low-Midrange Graphics Cards,22,N3530,Office/Productivity,06a91aa834f1421788611d4fafb7d33c
Notebook,4,Win10,4,3,Low-Midrange Graphics Cards,14,N3160,Casual User,ff11db71fef840b682f230b897233155
Notebook,4,Win10,4,0,,14,i5-10210U,Win Store App User,07345b10990448969ca8f1e9ce21bfd3
Notebook,8,Win10,4,-1,Low-End Graphics Cards,-1,Unknown,Casual Gamer,06aa4c827c254e8d9b4d129eef74c0ec
Desktop,8,Win10,2,6,Low-Midrange Graphics Cards,32,i7-610E,Web User,5cf818ddd28d4794b5d724f96f5fa3c9
Desktop,32,Win10,4,5,Low-End Graphics Cards,22,i7-4790,Gamer,a815788442224b649d9de7d39b8538dc
Desktop,8,Win10,2,6,High-End Graphics Cards,32,i3-2120,Gamer,8c6f3bba758c494581a66f90d97079b8
Notebook,16,Win10,2,5,Office-Class Graphics Cards,22,i7-4600U,Casual Gamer,2da1dc0cc41a49c091614105888421bf
Notebook,8,Win10,2,2,Mid-Range Graphics Cards,14,i7-7500U,Entertainment,2bdd7c1251314b59832fe158de539376
Notebook,12,Win10,4,6,Mid-Range Graphics Cards,22,i7-4750HQ,Casual Gamer,ad97b33bd99240198213f90f6314a773
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i7-7500U,Office/Productivity,54d534a1b786429cb4ff2eb27511ff0f
Desktop,32,Win10,4,2,Office-Class Graphics Cards,14,i7-7700K,Casual User,0ec78dc14b5d42ae9aa66de86089ef1e
Notebook,16,Win10,4,6,Low-End Graphics Cards,22,i7-3612QM,Office/Productivity,ea425ae8e5e649c9881b3ad4776c87dd
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User,4a10769e60564d62aa64c22b0de3d1cf
Desktop,16,Win10,4,2,Low-End Graphics Cards,14,E5-1620v4,Office/Productivity,5eaf72c35457483291c9faa1a0d8723d
Notebook,4,Win10,2,5,Office-Class Graphics Cards,22,i3-4005U,Web User,f726fd9c137f45b19cf965fc496d6297
Notebook,6,Win10,2,1,Low-Midrange Graphics Cards,14,i3-8130U,Web User,b3df093a86b94895b4c9b249c82ad013
Notebook,16,Win10,4,3,High-End Graphics Cards,14,i7-6820HQ,Gamer,7cc8e2622138485d9a9c167f0bf8fe29
Desktop,16,Win10,4,5,Low-End Graphics Cards,22,i7-4790K,Office/Productivity,cb28b380757844c4ac1251c9508861e9
Desktop,8,Win10,4,4,Low-End Graphics Cards,22,i5-4590,Content Creator/IT,b6b597dfbcad47faa40f86b7cf7fdc8b
Desktop,8,Win10,4,0,High-End Graphics Cards,14,i3-9100F,Gamer,6fd9fae8449746f4b68545c1c46bfc29
Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Gamer,ef1f14fe57fc49129dab4290435c7169
Notebook,8,Win10,4,2,Mid-Range Graphics Cards,14,i5-7300HQ,Web User,f176dfecbb524df5846a3f4551160646
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User,dd1c26f7e9e04db8abc0ccb43d2bd857
Notebook,6,Win10,2,6,Mid-Range Graphics Cards,22,i5-4200U,Office/Productivity,ef16d9d95a3445929ec50278df34fb21
Desktop,8,Win10,4,5,Low-Midrange Graphics Cards,22,i5-4460S,Win Store App User,1241c4271f58485f985eafbc07c3271b
Desktop,8,Win10,4,4,High-End Graphics Cards,14,i5-6402P,Gamer,331ee0e0c91b4373b832861cc4f62b55
Notebook,6,Win10,2,6,Mid-Range Graphics Cards,22,i5-3230M,Win Store App User,e61545c987924a86b55b2fea698042ed
Desktop,8,Win10,2,6,Low-End Graphics Cards,22,i3-3217U,Casual User,8084859c7e7a4c218c08dc9be758ac4e
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6500,Communication,c0d11deedcfc42a4aecd221a3ef202cb
Desktop,8,Win10,2,6,Mid-Range Graphics Cards,32,i3-2120,Gamer,40b48b979f6049669588f2e41781962a
Intel NUC/STK,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7300U,Win Store App User,c4ccd632ea294090b911c117ea32ddb4
Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-4770,Entertainment,a5a833f3c608453ca594a124eb736b5f
Desktop,16,Win10,6,4,High-End Graphics Cards,32,i7-3930K,Casual Gamer,e82a4d064794412a851681f580e54a51
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,i3-6006U,Casual Gamer,eabc172520574f9886ae0566af107063
Notebook,32,Win10,4,3,High-End Graphics Cards,14,i7-6700K,Content Creator/IT,eb0b2cf369f94395bfbaff74835cf91c
Notebook,16,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Office/Productivity,99ea79c2ac634695a2747ffa3dcb9ff1
Desktop,8,Win10,2,6,Low-End Graphics Cards,22,i5-4250U,Office/Productivity,dfcfe679bb564131ba47222ff20644f4
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400,Gamer,65760de33c5d43638a567acfc0d48187
Notebook,8,Win10,2,5,Office-Class Graphics Cards,22,i5-4210U,Entertainment,898658568ce845528f3a78b94c450c6d
Desktop,32,Win10,6,2,High-End Graphics Cards,14,i7-7800X,Web User,0f8f3e8f323d41d6a30d7ff20cd6d732
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400,Web User,6400b6a57b06462f9f80144538fd16b2
Desktop,3,Win10,2,6,Office-Class Graphics Cards,45,E8400,Web User,2edb40f4fa3e4751b94637ec804e98ce
Notebook,32,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700HQ,Web User,deb9f7c88be347138d46333854bd85d1
Desktop,16,Win10,4,6,High-End Graphics Cards,22,i7-4770K,File & Network Sharer,644fee9e97264de58bb7dc50e1cc9f55
Notebook,4,Win10,4,4,Low-Midrange Graphics Cards,22,N3540,Web User,67fc8aaa06da4977b077c789f6cbcf4d
Desktop,8,Win10,4,6,Low-End Graphics Cards,22,i5-4570,Casual Gamer,6d38663b67b648d89982526895795423
Notebook,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700HQ,Casual User,6dd157619ac04eb29429a8621f6f8e13
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Content Creator/IT,72fca14eecd844048a3f922e5784fe55
Notebook,4,Win10,2,2,Low-Midrange Graphics Cards,14,i3-6006U,Casual User,7c7c8de6c8c84b23bd99f78763c176de
Notebook,12,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Casual Gamer,054de324d5cf4ca5ba064261cd6bb786
2 in 1,8,Win10,2,3,,14,i5-6300U,Communication,0597bb3e4b5d43b7b3a5d5cc30cfc1eb
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400T,Casual User,73f89ef284854629b15598f2456e6755
Desktop,24,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400,Web User,299fd4fd37a143968e65126596262561
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Communication,87461e5785c442c49c5068df50fcbeb0
Notebook,8,Win10,2,4,,14,i7-6500U,Office/Productivity,dba2e0f354f947a598f823c04767684f
Desktop,8,Win10,2,-1,High-End Graphics Cards,-1,Unknown,Gamer,05fe1f6cbb314e0b90177f8c81bcff14
Notebook,4,Win10,2,5,Office-Class Graphics Cards,22,i3-4005U,File & Network Sharer,c209411a1eec4ffa90d3fcaf4d7e9ae8
Desktop,4,Win10,4,5,Low-Midrange Graphics Cards,22,J1900,Web User,04c89d564af1464eb819936c6875dd2d
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Web User,05acf2eff5814cba96955a6c1c0d5139
Notebook,8,Win10,2,5,Office-Class Graphics Cards,22,i5-4210U,Casual Gamer,07948c330b4f405eb53c56acafbabcb4
Notebook,16,Win10,2,5,Office-Class Graphics Cards,22,i7-4510U,Content Creator/IT,db83b2ea037c4e0483c552a72e2edf34
Desktop,4,Win10,4,6,Low-End Graphics Cards,32,i7-2600,Content Creator/IT,b383f7c1372e4a55a7cb8c50a005446d
Notebook,32,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8750H,Communication,053267d323b3421fbe874c4f8d12b156
Notebook,8,Win10,4,1,,14,i5-8250U,Web User,e614a50069c94cee8f84ecadcf5e95a5
Desktop,8,Win10,2,6,Low-Midrange Graphics Cards,22,i3-3220,Gamer,05f4502ed5d443ca88066779e1057894
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i7-6600U,Web User,033a2c752fdf47d5825698a20c597dcf
Notebook,16,Win10,4,5,Mid-Range Graphics Cards,22,i7-4710HQ,Web User,fe6893cfea904774a3f302142531f371
Notebook,16,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8350U,Casual User,06fd696571534919af772c6bd88b1ffd
Notebook,4,Win10,2,3,Low-End Graphics Cards,14,m3-6Y30,Office/Productivity,d0e68bb713054efba60836bea21fecbc
Desktop,32,Win10,4,2,High-End Graphics Cards,14,i7-7700,Casual User,c35eb2ff46624fdd8ec93caaf79e0ca1
Desktop,4,Win10,2,6,Office-Class Graphics Cards,45,E5300,Web User,d5ebbe17ec434c1ca852a6968b105555
Desktop,24,Win10,2,-1,,-1,Unknown,Entertainment,eedadbaeaf23423b999096257aae45e6
Intel NUC/STK,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7260U,Content Creator/IT,083a38c25258483dbece71dbefee82c1
Desktop,8,Win10,2,4,Low-Midrange Graphics Cards,14,i5-5250U,Web User,0793aaa099374072be91e03a966a661e
Desktop,16,Win10,8,0,,14,i7-9700F,Win Store App User,e0e8e354b7ce43759cfc77338fa89ea8
Notebook,8,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Casual Gamer,ecef13b1426946be95b53c226d61b2ec
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8265U,Office/Productivity,06177a113396446b9a61181c91e7bbab
Desktop,8,Win10,4,4,Low-End Graphics Cards,22,i5-4460T,Communication,f4ae06731b334044b75f81f5b95b1b41
Desktop,8,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100,Casual User,05c41230c01043c2b1a8788115c86423
Notebook,16,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Gamer,06a49e452e4c4281877c63a3bbf5dcac
2 in 1,8,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100U,Gamer,07b29509f3964e0aa762b540e6573ce3
Desktop,8,Win10,4,6,Low-Midrange Graphics Cards,22,i5-3330,Content Creator/IT,fe633c68666840019fb18319d8bf946f
Desktop,64,Win10,10,0,High-End Graphics Cards,14,i9-10900,Web User,045ad5828310465d8b0a45786e128f98
Notebook,16,Win10,4,2,Mid-Range Graphics Cards,14,i7-7700HQ,Casual User,0a9992a2cb0148d08012276c5f231e78
Notebook,8,Win10,2,6,Low-Midrange Graphics Cards,32,i3-2370M,Entertainment,031718f18b9045048a0fa660d38cf06b
Desktop,8,Win10,4,0,Low-Midrange Graphics Cards,14,i3-9100T,Office/Productivity,0684dcc1dd22499486ee193b8b5abae8
Desktop,8,Win8.1,4,4,Low-End Graphics Cards,22,i5-4460,Office/Productivity,0a2274fadf2f4ee29de4d3b47478fb85
Notebook,4,Win10,2,6,Low-End Graphics Cards,22,i5-3230M,Web User,06212b44c89041b4b26371ca02baad4a
Notebook,8,Win10,2,5,Office-Class Graphics Cards,22,i5-4300U,Office/Productivity,0404bbf2c1c94cddb4dfa2e29d04e3ab
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Web User,03f872c848ce4043b39d511885097fb5
Desktop,8,Win10,4,6,Low-Midrange Graphics Cards,32,i5-2400,Office/Productivity,05ab8999830842009ad37ba331085667
Notebook,8,Win10,2,6,Low-End Graphics Cards,22,i5-4200M,Office/Productivity,061a0f4d56394a69b170801d0ae98698
Notebook,16,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Casual Gamer,ff327c7e234d43fc97725327ecd3f573
Desktop,64,Win10,16,1,High-End Graphics Cards,14,i9-9960X,Content Creator/IT,065b77eafe254009ad9a152f9c0144fc
Desktop,8,Win10,4,4,Low-End Graphics Cards,22,i5-4460,Web User,fc7437f760a14c33bc085bbff81d21c6
Notebook,8,Win10,4,1,,14,i5-8250U,Web User,069439fc8eb14b5c9b33c5d44d14357c
Notebook,24,Win10,4,1,,14,i7-8650U,Communication,0683da58ceca47e2b0bacdfa6365ffa3
Desktop,16,Win10,6,1,,14,i7-8700K,Casual Gamer,a233fa51846d4cbb9eff35a1d078b557
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8565U,File & Network Sharer,8b800d10fbb04550b25319a312715065
2 in 1,8,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Content Creator/IT,1d41abed07c747e9922a865849823616
Desktop,16,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7260U,Communication,236da1c3095e4ea0a6d30943e1d64919
Notebook,4,Win10,4,1,,14,i5-8265U,Casual Gamer,22e5f0c8756242d3b236537a3f286e2b
Notebook,6,Win10,2,5,Office-Class Graphics Cards,22,i7-4510U,Office/Productivity,225fbd9dea9f4637ac4a65797cd6a375
Desktop,16,Win10,4,6,Mid-Range Graphics Cards,22,i7-3770K,Web User,be04e8294ed1478a876840cbd7d4880b
Notebook,4,Win10,2,6,Office-Class Graphics Cards,45,P8400,Casual Gamer,0f2f3c8209fb4ef790e68c27279b8d4f
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Casual User,68bebb217ec646eb81300a874904148e
Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-4770,Casual Gamer,8dff8cc2eed34005a0223c76715def3f
Notebook,16,Win10,2,4,Low-Midrange Graphics Cards,14,i7-5500U,Content Creator/IT,37c842849fcb40c0b39995b63345a244
Desktop,6,Win10,4,6,Office-Class Graphics Cards,45,i7-720QM,Communication,5942b416215a4d919cd1b3889a51acf1
2 in 1,8,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Web User,ddf84e205d94470ba7666215039261bd
Desktop,32,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7260U,Office/Productivity,5fcd5434b0ac4d38ac3a4d934afb6509
Desktop,8,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100,Communication,f3805c77218043c4a944b0ea8484679a
Notebook,8,Win10,4,4,Mid-Range Graphics Cards,22,i7-4720HQ,Web User,e9cdc6c989e843f3afa37b21237ab2a0
Desktop,32,Win10,6,-1,,-1,Unknown,Casual Gamer,f74496e1d2764d7081b49349cc9baccf
Desktop,8,Win10,2,6,Office-Class Graphics Cards,32,i3-2120,Web User,f89c23746e95490c8cbd039aa8352853
Desktop,64,Win10,16,2,High-End Graphics Cards,-1,i9-7960X,Web User,e4e9e1aac0ac4e13a6d3a58e216ea2c2
Desktop,4,Win10,2,4,Low-Midrange Graphics Cards,22,G1840,Web User,e9bd2c3390a442088242455ba2a9f021
Desktop,16,Win10,4,2,,14,i5-7600K,Gamer,a5509fc80879492995b417e6583b22a8
Intel NUC/STK,16,Win10,4,1,,14,i7-8705G,Win Store App User,e91dd61864dd4779870454e46b19632f
Desktop,16,Win10,4,5,High-End Graphics Cards,22,i7-4790,Casual User,e29166e0588b4fa38474e03a35832151
Notebook,16,Win10,4,5,Low-End Graphics Cards,22,i7-4710HQ,File & Network Sharer,d45dec1c19eb468f9cd6cf2f83917267
Desktop,16,Win10,4,4,High-End Graphics Cards,14,i5-6600K,Web User,9297e3e015b94b758f833944d6b97818
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400T,Content Creator/IT,e4f10fb44c2948bdb428503ec80e2123
Desktop,12,Win10,2,6,Mid-Range Graphics Cards,32,i3-2120,Gamer,b78c5f9c78454b15b855d54deb86619a
Desktop,24,Win10,4,5,High-End Graphics Cards,22,i7-4790K,File & Network Sharer,da53795464144b42bf67dde67d06a57f
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i5-5200U,Web User,e84815018092455e807d0563634b02be
Desktop,8,Win8,2,6,Office-Class Graphics Cards,45,E8500,Web User,06bea82ab27040989a0642a5cb89ec5f
Notebook,8,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Communication,b8843d20dec54793a091398bbe0127d9
Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Web User,acc1de8675dc4dde98b521192007e165
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Office/Productivity,0868dd989ba245d9acace5e02ac6d7a2
Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7300U,Communication,07c03cabb8a440f397a9223d6e03a54f
Desktop,16,Win10,6,0,,14,i5-9600KF,Casual Gamer,04e7c4ff0bfa4efb9c7821cabec890f8
Notebook,32,Win10,6,0,,14,i7-9750H,Casual User,0620254fbfa14428bf07d9196c484f41
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i5-5300U,Win Store App User,08c8003a8afd4872a0ef0519b6a8c588
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i5-5200U,Communication,073c8f6a076040f7ac4df54e898358ae
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Web User,fd189c8e9b5746908001742f6c9265eb
Desktop,8,Win10,4,6,Low-Midrange Graphics Cards,45,Q9300,Win Store App User,99abd2516a964072886d5ccfc152d4e5
Desktop,10,Win10,4,5,Low-End Graphics Cards,22,i7-4790K,Web User,06b43cc7d62b43c9a4aecb881eb75334
Notebook,12,Win10,2,4,Mid-Range Graphics Cards,14,i7-5500U,Casual Gamer,c00037fa42d34e8a8ba6a675dfcbb524
Notebook,4,Win10,2,4,Low-End Graphics Cards,14,i5-5300U,Office/Productivity,b72bd9e01b8f4523ae6cd91aba88a63b
Notebook,16,Win10,4,3,High-End Graphics Cards,14,i5-6300HQ,Web User,ea8f29e29bce4f679a80678d3ab6f312
Desktop,16,Win10,6,0,Mid-Range Graphics Cards,14,i5-9400,Casual Gamer,ec540bc1f7c24dfc8b3b2b05e86bd0c9
Notebook,8,Win10,2,6,,22,i5-3360M,Communication,e3ed995cb6234a5a9d105408da9dca85
Desktop,8,Win10,2,6,Low-Midrange Graphics Cards,22,G2030,Entertainment,048c15836c9e4018b53c03d4b86fdabc
Desktop,16,Win10,4,2,Office-Class Graphics Cards,14,i5-7500,Web User,02b4a7c74aff49deb90520c6059b55b0
Notebook,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8650U,Communication,06c0df4225e241558d6f2e9b64f5b16c
Desktop,4,Win10,2,6,Low-Midrange Graphics Cards,32,i3-2120,Casual User,03d25908449247a783d558b957773a7e
2 in 1,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7300U,Communication,03322f0bd6d644eb8b09d63df6021e89
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8265U,File & Network Sharer,09195c0e7fdb41a1b3e6c36ffd905a49
Desktop,4,Win10,4,6,Low-Midrange Graphics Cards,32,i7-2600,Communication,05e9de9d32d24fa0b752b2d7a8503b54
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i3-6006U,Casual User,0410e162fe4b4df7976d42d76472f0c4
Notebook,32,Win10,4,2,Office-Class Graphics Cards,14,i7-7820HQ,File & Network Sharer,08cb4d754b114b93997ee8e439a9ef57
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Casual Gamer,0599c75825ce45d1b1525a60ec2d2220
Notebook,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700HQ,Casual Gamer,075a8716e6da4f7e9c25b188d3d7a30b
Intel NUC/STK,8,Win10,2,2,,14,i5-7260U,Communication,07dceaf73fb44b3eb5736946f41547ce
Notebook,16,Win10,2,4,,14,i7-6500U,Web User,0ae09e2a0ca14e64b92504a8df1d6971
Desktop,48,Win10,6,1,High-End Graphics Cards,14,i7-8700,Gamer,060a4c0da8814227b439e7536472e09e
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Web User,40386455fcb44eb8aa9d8ea7c0e877f4
Notebook,16,Win10,2,4,,14,i7-6600U,File & Network Sharer,1bed815fd99d4218bbe2c9d111af7ddf
Notebook,8,Win10,2,6,Low-End Graphics Cards,22,i3-3120M,Web User,1a155451886d4eecb79c5346e86aab4b
2 in 1,8,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8550U,Web User,91e4df3dcde04e6fb1159f1762989e9b
Notebook,8,Win10,2,4,Low-Midrange Graphics Cards,14,3805U,Web User,c8f375f5c2154557aa5d5d62faf4e43b
2 in 1,8,Win10,4,0,,10,i5-1035G7,Gamer,909928a0ae514914800363de2219b14c
Desktop,12,Win10,6,0,Low-Midrange Graphics Cards,14,i5-9400,Win Store App User,f28cd3362707458db444438ba6251c3f
Desktop,16,Win10,2,3,Low-Midrange Graphics Cards,14,i3-6100,Casual User,92423721ba1744cdba73109cf679cd88
Desktop,4,Win10,2,4,Low-End Graphics Cards,14,i3-5010U,Web User,de918db298a3452ca5ada40a367caa78
Desktop,8,Win10,4,6,Low-Midrange Graphics Cards,22,i5-3470,Content Creator/IT,b0be1fe85d9e45a89a05dc9f6b4c3369
Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8300H,Entertainment,cbeb4cbbfc54490489259a7065f7a14b
Desktop,8,Win10,4,6,Mid-Range Graphics Cards,22,i7-4770,Web User,e71faeb7f370401b99f9db985b6c415b
Desktop,16,Win10,4,3,High-End Graphics Cards,14,i7-6700K,Casual User,c6a0cb4ad74749d9b7230fc1f0507da3
Notebook,16,Win10,6,0,,14,i7-9750H,Gamer,d3b79bfc035b4488b578fce9d3e5ebea
Notebook,8,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Casual Gamer,55f042468b714b7da3016308b16d09e8
Desktop,16,Win10,4,5,,22,i7-4710HQ,Web User,80843c09c38e41d09a7a959bcb3eabc3
Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Communication,3c55473f6d4f42d4ba32d70748464c87
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i7-5500U,Entertainment,1a08f9591a1446e7a4d4c2259e09eefa
Desktop,8,Win10,4,6,Low-Midrange Graphics Cards,32,i5-2320,Web User,49d30b78bbfd4ea9bc81a46d7f8e58b6
Desktop,16,Win10,4,5,Low-End Graphics Cards,22,i7-4790K,Casual Gamer,33c200e9668d4c15a5dc0659d55caca1
Notebook,32,Win10,4,6,Mid-Range Graphics Cards,22,i7-4900MQ,Office/Productivity,3cec933a41c9490a9c384d14b3368cb7
Desktop,16,Win10,4,3,,14,i7-6700,Office/Productivity,26db9a0951644f06801aad1bcfcac8f6
Desktop,16,Win10,4,5,Low-End Graphics Cards,22,i7-4770S,Casual User,80c16f1120db44c190483ff942127a2d
Notebook,8,Win10,2,4,Low-End Graphics Cards,14,i7-5600U,Communication,ff244c95febe4b48a66bbb752a3d41c8
Notebook,16,Win10,4,5,Mid-Range Graphics Cards,22,i7-4712HQ,File & Network Sharer,c48c7ab878784a998e018e0b408af261
Notebook,24,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8650U,Web User,6d6fd47e9fa84883a8e50d9737b2d596
Desktop,24,Win10,4,3,,14,i5-6400,Casual Gamer,1fbe5175ceaf4e76bdf3dd1902a6ec61
2 in 1,8,Win10,2,4,Mid-Range Graphics Cards,14,i7-5500U,Communication,f674223ddc86459489e8a058c130f6ad
Desktop,16,Win10,4,3,Mid-Range Graphics Cards,14,i5-6400,Casual User,6ce928b0e7b649c3ac6acaa772279adf
Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6500T,File & Network Sharer,5ab18203c4154ff1ae2c5da8efe1a9ae
Desktop,8,Win10,4,6,Low-Midrange Graphics Cards,32,i5-2500,Casual Gamer,e2f7b23651674e75a96dd35cc9d97ae0
Desktop,4,Win10,2,2,Office-Class Graphics Cards,14,i3-7100T,Web User,95ed1a0476bd4b4d9f8a8a37bd3d1549
Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400,Casual User,a7c98ecd3d324c6aaa05dc7e2d9c0093
Notebook,24,Win10,4,6,Low-Midrange Graphics Cards,22,i7-3820QM,Web User,438243b1f7064b928618ad1ef4a4f015
Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Content Creator/IT,f9d3126553b34f439e1eead8f218862b
Notebook,16,Win10,4,1,,14,i7-8565U,Office/Productivity,06163f7ecd364d528b64637afb0772ec
