chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona,guid
Desktop,16,Win10,4,2,Mid-Range Graphics Cards,14,i7-7700K,Casual User,d833b066508a489a8c62ef0491e05b96
Notebook,16,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700HQ,Web User,d0f1ed70aee54c8cb25af5ad5b15c794
Desktop,8,Win10,4,1,Mid-Range Graphics Cards,14,i5-7400,Entertainment,e6b6cb927d1e49d49bfc7881d39f33a0
Intel NUC/STK,16,Win10,4,1,,14,i7-8705G,Web User,e4ceaa129eba46f68f314021d0377f6c
Desktop,8,Win8.1,2,6,Low-Midrange Graphics Cards,22,i3-3220T,Web User,f6e871db827f441687371e46671e678e
Desktop,4,Win10,4,6,Low-Midrange Graphics Cards,22,i5-3470,Communication,1fbbf9148f75463980e2150df82a2160
Desktop,16,Win10,8,1,,14,i7-9700K,Gamer,5961be3b5b6a42de94f190e5361f3314
Desktop,8,Win10,4,5,Low-Midrange Graphics Cards,22,i7-4790,Web User,7e1920586cf24e689911f78e45b5fdf4
Desktop,16,Win10,8,4,,22,E5-1660v3,Gamer,4c3eeb820e274680ac39de8063040813
Notebook,8,Win10,4,5,Mid-Range Graphics Cards,22,i7-4710MQ,Web User,5ad1978868fd430c94d02960cb3d0ef6
Notebook,16,Win10,4,6,Low-End Graphics Cards,22,i7-4700HQ,Web User,641361e4f96141ffa509c4c33101fca3
Notebook,4,Win10,4,4,Low-Midrange Graphics Cards,14,N3150,Casual User,d6d22342146a42249641fdf2f22a7088
Notebook,4,Win10,2,6,Low-Midrange Graphics Cards,22,1000M,Web User,cff9805680814076b8fd1b5cd2e98396
Notebook,32,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Web User,37307d27b14d42c1b8b609fb8cda0dac
Desktop,32,Win10,4,6,Mid-Range Graphics Cards,32,i7-2600,Web User,da9f97321d9d4365800133dc7bd4c097
Desktop,40,Win10,4,3,Not Suited for Games,14,i7-6700,Web User,782997e9cf1d420dbfdd9646f70ac68d
Desktop,16,Win10,4,3,Mid-Range Graphics Cards,14,i7-6700K,Web User,54ce2e6c8b5e45019f1f93aed6f4b8c5
Notebook,16,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Gamer,05d58fd9c0884fd2ac552631f984848e
Notebook,16,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8650U,Web User,076df8d464d94c84b3a3b16c591d6cbf
Desktop,16,Win10,6,1,,14,i5-9600KF,Casual Gamer,0483bb4cbb3347a0aaf602d4717f9213
Notebook,8,Win10,2,6,Low-End Graphics Cards,22,i5-3320M,Content Creator/IT,0533b2f227ef4021b4e37ebb37cd0cc9
