batch_id,guid,wait_msecs,before_cpuutil_max,before_harddpf_max,before_diskutil_max,target,chassistype,ram,os,#ofcores,age_category,graphicscardclass,processornumber,cpucode,persona
20200630-200256,da23c58aaab249acaa6fdda8062cea5a,1300,30.5804344168406,9.958436154749602,16.423943030987697,1,Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i7-8550U,Office/Productivity
20201208-190229,05b07ef0d06541a9aa6a6e9f98cb5424,2900,16.2470502211088,9.709985071315195,10.979768789326771,1,Notebook,8,Win10,4,1,Low-Midrange Graphics Cards,14,i5-8250U,Content Creator/IT
20200921-200228,1b919591e78d4672a066f40701398122,1307,8.12022435633407,9.54640876863923,12.641116169327605,1,Notebook,32,Win10,8,0,,14,i9-9980HK,Web User
20201012-200229,e27bf6a7458a42fca21dd00330ac5195,1640,99.99870812552179,10.651188110743574,17.58253918224357,1,Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6200U,Web User
20200826-200231,077cd6aaf702410683e2509ecfc075d6,2100,29.8358621476226,9.137599776179412,13.41421770095793,1,Desktop,16,Win10,4,4,Low-Midrange Graphics Cards,22,i5-4590,Content Creator/IT
20200316-210520,863fa68976de40589074a6f917d0515c,2300,19.0997910920406,8.36054626051155,11.726526372591593,1,Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Casual User
20200305-200231,07368cec1c374538ab87c90bd5fb1986,1700,5.582002788051679,8.32531815135534,15.13443492956676,1,Notebook,16,Win10,6,1,Mid-Range Graphics Cards,14,i7-8750H,Content Creator/IT
20200730-200228,91a2eb993e2d434babce9be8fdd9156a,1200,24.4648173355728,8.632990755974493,12.848077935606987,1,Notebook,16,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Communication
20200909-200238,8c8c8f3658f6433d8e56f18fa129214c,1399,95.0782929443033,10.65124265689844,17.60186529090968,1,Notebook,8,Win10,2,3,,14,i5-6200U,Web User
20200507-200228,d1b5bd83966441bfa646e45f994c1360,1004,28.7865681139572,9.666933773939828,11.856511428196109,1,2 in 1,16,Win10,2,3,Low-Midrange Graphics Cards,14,i7-6600U,Casual User
20201216-201728,0121379f76714a03823c02777d689676,5006,27.3734424132805,8.848599974567776,15.69722922736223,2,Intel NUC/STK,8,Win10,2,1,,14,i3-8109U,Office/Productivity
20200319-210232,ee97fd0efd3145fc87ef3474054a9e77,4600,41.7984850179347,8.978697670330881,17.611822884051673,2,Notebook,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6820HK,Content Creator/IT
20200311-210227,f82e76ab0f664b509ccc039b01fc86df,6900,22.894973181412002,8.564047930816484,10.620296923929098,3,Notebook,8,Win8.1,2,5,Office-Class Graphics Cards,22,i3-4005U,Web User
20200515-200231,8954f0d446cf458495f84c668236f6ea,1291,16.8892781627531,7.930222465974636,12.45365251369855,1,Notebook,8,Win10,2,6,,22,i5-3317U,Office/Productivity
20201125-190240,07c22b809c90404a931dcb7d89b384e1,3503,53.3785593098219,9.116376415680081,14.444802976870852,2,2 in 1,8,Win10,2,4,Low-End Graphics Cards,14,i5-5200U,Web User
20200817-200228,b3de2315e8a54f1fbd6867be200411bf,1206,25.4902623516918,8.604132877305052,12.557963087923518,1,Notebook,16,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6300U,Communication
20200325-210228,88c7d3a91a08421bac2d5322c1dae724,1301,9.268041121044007,8.894210218535603,12.760313948563345,1,Desktop,32,Win10,4,6,Low-End Graphics Cards,22,i7-3770K,Casual User
20200418-210229,fbb785446e0e4910982a363856738dec,3499,41.9458242679435,10.845840305586924,17.028576568463524,2,Notebook,16,Win10,4,2,High-End Graphics Cards,14,i7-7700HQ,Web User
20201115-190231,0c55ccec3b35450baaccd874c243b51b,1543,69.9941062423481,10.539764510319365,13.257156602377405,1,Desktop,10,Win10,2,6,,22,i3-4130,Casual Gamer
20200131-200229,07e9f14054ff494b88f8cfcb5a80888c,1203,45.6592985979134,10.378652239953846,12.490791903921425,1,Desktop,4,Win10,2,2,Office-Class Graphics Cards,14,i3-7100,Casual User
20201013-200230,0793aaa099374072be91e03a966a661e,1209,26.9872191838588,9.77135505488437,15.127696842475402,1,Desktop,8,Win10,2,4,Low-Midrange Graphics Cards,14,i5-5250U,Web User
20200612-200216,e00f1f495a01412c890f93138acd7d0c,1100,18.429654564175998,9.67915555667003,13.395536747140097,1,Desktop,64,Win10,8,1,Mid-Range Graphics Cards,14,i7-9700K,Win Store App User
20200726-200228,3db048762bf54274a095c6088a60d937,1798,99.8436790115127,11.155505095367243,14.46524316170572,1,Desktop,16,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7260U,Web User
20200323-210235,ac9580f0aff147a2b254c7bac652e20e,1901,16.254539003986,9.011207206901256,12.225247757158186,1,Desktop,16,Win10,4,3,Low-End Graphics Cards,14,i5-6500,Office/Productivity
20200213-200227,f235b38db785450e8b75abca26ae2561,1100,73.12502633747418,9.887826376735905,14.519370857772973,1,Notebook,16,Win10,2,4,Low-End Graphics Cards,14,i5-5300U,Communication
20201009-200236,4deaa241aacb448189b996cf49d9ef3f,2285,28.780035787193604,5.706894337430788,10.292212459443114,1,Notebook,4,Win10,2,6,Low-Midrange Graphics Cards,32,B940,Casual Gamer
20200811-200232,4dc126e5a5bb410492f058b5dc358151,1201,19.120067659412697,11.319205004107038,17.79333309409542,1,Desktop,32,Win10,6,1,High-End Graphics Cards,14,i7-8700K,Web User
20200424-210228,054f1792477b47d8b99228d664089951,1100,24.445801776024197,10.72518244783549,12.800631888094966,1,Notebook,16,Win10,6,1,Low-Midrange Graphics Cards,14,i7-9750H,Communication
20201123-190230,d8ee6148595c4875971bd5ebd3800260,2800,54.3717400632627,11.991845461711886,16.742097981926896,1,Desktop,16,Win10,6,0,,14,i5-9400F,Gamer
20200213-200227,26b0533be88445bba3529e4ade91bb65,1399,14.4783829115551,9.688110635197987,13.427199731133634,1,Desktop,16,Win10,2,-1,High-End Graphics Cards,-1,Unknown,Gamer
20200728-200227,03a204efe96d4b30bd4dd766efcf2db4,2699,44.3829788178588,8.854040489082315,13.30078706039388,1,Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Web User
20200730-200228,0c6d82aa0ea24c959f568ecab945ec97,2101,46.5641159011352,10.632487116869035,13.5738737722502,1,Notebook,16,Win10,4,4,Low-Midrange Graphics Cards,14,i7-5700HQ,Web User
20201202-190229,ce8f2ca7e9834d57951713a3784039cd,1308,78.45773374451029,9.47387780688836,15.209072368922513,1,Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i7-7500U,Communication
20200821-200227,a6742a65ee3c4d78add76da05f4bf232,5203,31.651471340129,10.159866315822525,15.114817180031938,2,Desktop,32,Win10,4,3,Mid-Range Graphics Cards,14,i7-6700K,Web User
20200619-200229,fec25505fef84a108a52d99c6cb166f7,1904,49.043527886302606,10.125474136647927,17.691156315630966,1,Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-4770K,Web User
20200326-210232,07d7087250e0426b81897cdb767336a5,7901,29.4463903634963,9.593762848095238,16.153360244404904,4,Notebook,8,Win8.1,4,6,Low-End Graphics Cards,22,i7-4700HQ,Web User
20200423-210636,04ed14794e2b4985acf30df936717a9d,1406,25.63174371348009,8.340339521443905,12.492061000887293,1,Desktop,16,Win10,4,6,Low-End Graphics Cards,22,i7-3770K,Casual User
20201006-200229,0793d13e657c432d8214a22945254cec,2914,74.11068054129902,8.748948035250661,16.75856545212106,1,Notebook,4,Win10,2,5,Low-End Graphics Cards,22,i3-4000M,Web User
20201129-190235,643538d5cb3649beafbe07c7628bea04,1601,10.162342789912,8.338380209780484,15.098989782834954,1,Desktop,16,Win10,6,1,Mid-Range Graphics Cards,14,i5-8400,Web User
20201205-190333,33ac1f2c35a64d3c84d8a180f0d924db,1897,25.1324380197266,10.291352473539595,14.626278512825234,1,Desktop,16,Win10,4,6,,22,i7-3770,Entertainment
20200302-200304,d56ffe2b7a7d4962a889f698149e4308,1499,38.9532171165121,10.577773534285223,12.707898811386336,1,Notebook,16,Win10,4,6,Mid-Range Graphics Cards,22,i7-4700MQ,Gamer
20200425-210229,03ebb33a05524bf68b206c2071212f3c,1201,26.16652845666029,8.731783459014325,13.301369461879542,1,Desktop,8,Win10,4,6,Low-End Graphics Cards,22,i5-4570,Content Creator/IT
20201116-190235,557ad469708c449794bcef9f8029c1d7,1903,14.375461289288197,10.354932269077286,17.540761767580136,1,Notebook,8,Win10,2,2,Low-Midrange Graphics Cards,14,i5-7200U,Gamer
20200907-200232,b2f744fa7d354fe8aded4f994fc63a0e,3200,19.411291748436085,8.954544288812956,14.041377149006617,1,Notebook,8,Win10,4,6,Low-End Graphics Cards,22,i7-3630QM,Content Creator/IT
20201001-200228,a2e1345474e14e42b602ca15cff501a0,1600,83.2811018705626,9.535757859318828,16.4803306336092,1,Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,J3710,Web User
20200409-210228,a2ed8234e9744ed185f53147f7b8769c,1104,34.2254313806803,9.933563796693171,13.836508193123406,1,Desktop,16,Win10,4,3,Low-Midrange Graphics Cards,14,i5-6400,Web User
20200401-210228,a49589f3741141e580d4df4cefa6ba12,1699,26.012370544303888,11.06719390992432,15.167753236593583,1,Notebook,32,Win10,6,1,Mid-Range Graphics Cards,14,i7-8850H,Communication
20200826-200231,783a8e169b274860ab7d2027990ba5a9,1100,51.723219464342,9.662964863321921,12.579055060427812,1,Desktop,16,Win10,2,6,Low-End Graphics Cards,22,i5-3427U,Content Creator/IT
20201012-200229,81fd8bd644a04af9b050699525e025a2,3496,10.785338122176599,10.196651841321323,10.539498485583469,2,Notebook,8,Win10,4,6,Low-Midrange Graphics Cards,32,i7-2630QM,Content Creator/IT
20201113-190230,7a09d537865c4081b4d2771068b2f550,1500,27.4594581729467,9.303188802367162,12.000390047918247,1,Notebook,16,Win10,4,3,High-End Graphics Cards,14,i7-6700HQ,Gamer
20201014-200228,c22d1d81dcd94fc9a0e2a914ab694246,1799,67.9682285227603,11.033713090868769,16.646851031294794,1,Desktop,16,Win10,4,6,High-End Graphics Cards,32,i5-2320,Casual Gamer
20200504-200213,7f1e897bb3594a89b32e868a9a8f61c3,4200,53.2786457517142,8.712199814849367,17.026618860268343,2,Notebook,4,Win10,2,6,,32,i5-430M,Web User
20200921-200228,0651ac1254e74bc596ddf9d73675e7ab,6100,21.359339234868905,10.35033811988894,12.402734183902798,3,Notebook,16,Win10,4,2,Mid-Range Graphics Cards,14,i7-7700HQ,Content Creator/IT
20201002-200231,0598f2e3054d4795bd54530813555184,1058,6.393112645490701,6.963078752056948,11.151103638479086,1,Desktop,12,Win10,6,1,Low-Midrange Graphics Cards,14,i7-8700T,Casual User
20200810-200214,044eb66bd96d4182ad986d23778ea53b,1400,39.4604225545671,9.321802404503137,15.838843768035145,1,Notebook,8,Win10,2,4,Low-Midrange Graphics Cards,14,i7-6500U,Web User
20200207-200228,0639b802b05f4da283439acda176f5e1,1699,24.379801882580505,10.172718782323322,17.093591654574265,1,Notebook,16,Win10,4,2,Office-Class Graphics Cards,14,i7-7700HQ,Web User
20200515-200231,f64925b40f1544b5ade4dd0912e42344,4999,28.186300922854198,10.098515458306068,16.25559849974041,2,Notebook,8,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6300U,Casual User
20200305-200231,e55bda2b81db4438a7e0dbf0962a9dc1,1600,21.5653628642555,8.547052810692769,16.43668275878168,1,Notebook,8,Win10,4,6,Low-End Graphics Cards,22,i7-3610QM,Web User
20200513-200227,042845c782374b90a4ba81baa53a110f,1800,54.134503873577,9.55316966619012,15.744434846269298,1,Notebook,16,Win10,2,3,Low-Midrange Graphics Cards,14,i5-6300U,Office/Productivity
20200729-200228,06a7d406b9cf4772b53c7b8071e2e227,1502,29.460610229254694,8.877202876428116,13.137940478076322,1,Notebook,16,Win10,2,3,Low-Midrange Graphics Cards,14,i7-6600U,Communication
20201120-191457,958565bc7af64c36a7c8d5f8794c7638,1404,30.339871023230096,11.200855211608582,16.164916012946684,1,Desktop,8,Win10,4,3,Low-Midrange Graphics Cards,14,i7-6700T,Communication
20200403-210220,902f93e172a9438ea3be14c2053d58e2,1199,40.659431062000095,11.301878966598046,17.61416326996402,1,Desktop,64,Win10,4,-1,,-1,Unknown,Content Creator/IT
20200416-210228,07e80bbc007949079412afd947b82cde,3300,29.923407874303894,9.541208165865445,13.273390192846255,2,Notebook,12,Win10,2,5,Office-Class Graphics Cards,22,i7-4600U,Casual User
20201109-190235,589fd5300776434d8ca830a7fdfeeafe,1100,32.6988870351207,9.887322117192232,16.342925772365408,1,Notebook,16,Win10,4,3,,14,i7-6700HQ,Web User
